Any;mes;dia;C_HORA_TRUCADA;D_COORD_GEO_IMPACTE
2013;5;26;99;77
2013;5;13;99;30137495 81345461
2014;6;3;99;31631484 85851492
2014;11;16;99;30935710 81501303
2014;9;14;99;29272024 82206350
2013;10;4;99;28164773 80438498
2014;10;30;99;28484675 81473990
2014;4;8;99;30535047 82826293
2013;9;6;99;33278184 85752015
2014;7;17;99;30392811 80915083
2014;6;23;99;31264761 85798716
2014;9;28;99;29569237 87033836
2013;3;3;99;32331385 89302412
2013;6;18;99;32731376 82208843
2014;12;5;99;77
2013;9;22;99;77
2014;10;8;99;77
2013;12;15;99;77
2014;7;1;99;77
2014;7;8;99;77
2014;5;7;99;32423916 83950185
2014;9;18;99;29539427 83045794
2013;9;5;99;29294721 81797528
2013;12;7;99;426167.905, 4581053.077
2013;1;13;99;77
2014;2;7;99;29353104 82485673
2013;4;26;99;31666292 84197789
2013;3;3;99;77
2014;3;19;99;77
2014;5;21;99;77
2014;2;29;99;28602578 82936107
2013;5;10;99;31087512 84752236
2013;11;18;99;29161482 82870002
2013;1;15;99;77
2014;12;1;99;33079428 89025637
2013;2;28;99;28335176 80342880
2013;9;24;99;27353832 81193500
2013;4;2;99;77
2013;8;24;99;30240097 84840314
2014;11;12;99;31621105 85774823
2014;2;13;99;33733687 84309610
2014;8;21;99;77
2014;8;4;99;77
2014;9;8;99;32650460 82099706
2013;4;19;99;29362503 81356789
2014;2;13;99;30712117 81853061
2013;5;30;99;34223866 83832973
2014;10;10;99;30238286 82213431
2013;5;9;99;427327.917, 4579992.675
2013;4;23;99;33293896 86530178
2013;7;30;99;28104196 82512940
2014;12;4;99;77
2014;9;1;99;77
2013;12;20;99;28103104 82323522
2014;5;11;99;32074731 88405796
2014;7;22;99;31988797 83902269
2013;12;23;99;29839288 81810130
2013;12;2;99;28559375 82875102
2013;7;24;99;77
2013;11;15;99;28523413 82052918
2013;11;26;99;28311246 82860094
2014;4;15;99;28804543 83119068
2013;11;7;99;31390372 81060865
2014;1;12;99;30854806 84337838
2014;6;18;99;77
2014;4;21;99;25257059 83243480
2014;1;31;99;30897065 83432659
2014;8;25;99;29308845 81278846
2013;6;11;99;27955365 82700300
2013;4;16;99;77
2014;6;19;99;77
2014;6;15;99;30485823 82857639
2013;9;21;99;31366118 83891004
2014;4;21;99;30497317 82116361
2014;10;20;99;31466500 84366784
2013;8;6;99;77
2013;1;11;99;77
2014;3;28;99;27976515 84110638
2013;6;19;99;31560480 84468637
2014;2;7;99;77
2013;7;26;99;77
2014;5;5;99;425113.068, 4579447.254
2014;9;27;99;27211310 84988281
2013;9;4;99;32495517 86513558
2013;11;4;99;77
2014;4;30;99;29413605 82247094
2013;3;13;99;33071865 83460071
2013;1;19;99;426083.133, 4580330.885
2013;5;4;99;25303597 81816716
2014;12;3;99;30744096 88425698
2014;1;15;99;77
2013;6;11;99;27754814 83580445
2014;2;21;99;77
2014;9;19;99;77
2013;5;24;99;29446272 83175938
2014;2;16;99;29407406 82251827
2013;5;29;99;30517128 83076666
2013;3;27;99;29143032 81150201
2014;5;13;99;32992609 85471897
2014;3;24;99;29353184 82696763
2014;8;20;99;30405707 83505569
2014;11;1;99;29350275 82692034
2013;7;29;99;27182871 82401617
2013;5;6;99;27369160 80649855
2013;11;26;99;27964631 80482734
2013;12;12;99;29853167 83316785
2013;2;14;99;31984259 82119430
2013;5;13;99;31632661 83967609
2013;11;10;99;30586835 82766130
2013;10;22;99;27524664 80511234
2014;11;22;99;28671854 82964314
2013;4;15;99;33366503 85667751
2014;9;18;99;27618029 85329467
2013;6;27;99;28121321 82524822
2014;11;18;99;77
2013;4;11;99;77
2013;1;28;99;77
2013;2;9;99;27832716 84283727
2014;1;9;99;28171186 81774909
2014;12;13;99;34844429 84422154
2014;7;10;99;30278021 82827644
2013;11;12;99;33897725 88267008
2014;4;5;99;28257390 80278508
2014;10;11;99;77
2014;10;18;99;77
2014;4;17;99;77
2014;10;25;99;77
2014;10;5;99;32666953 87011427
2013;9;26;99;77
2013;8;18;16,48;77
2014;6;19;99;32469467 88886285
2014;3;22;99;30558763 88375214
2014;12;18;99;26813535 82329389
2013;10;17;99;32594040 88368223
2014;5;14;99;32870195 85380863
2014;2;28;99;30379781 82748513
2014;12;18;99;31945652 83863580
2014;5;22;99;28149046 82809302
2013;7;3;99;427056.414, 4579570.813
2014;3;27;99;29764828 81542780
2013;2;23;99;26118444 81061040
2014;2;27;15,2;27876750 85410186
2014;7;5;99;29193515 81327469
2013;1;26;99;30968261 83506192
2014;8;26;99;31293688 83765836
2014;8;15;99;77
2014;9;30;99;29645711 82587177
2014;10;5;99;32051890 81700535
2013;1;26;99;25962537 83640387
2014;12;19;99;25340289 84833262
2014;7;1;99;30123852 88285012
2014;11;13;99;28446031 80450061
2013;7;17;19,35;77
2014;1;2;99;32403688 82628925
2013;11;23;99;31135049 86828824
2013;6;21;99;77
2014;1;15;99;77
2014;6;6;99;28848452 82596144
2013;12;4;99;28456601 80807369
2013;10;1;99;27737818 85345980
2013;3;27;99;25543850 82571007
2013;4;8;99;26782302 82351654
2013;3;3;99;31840483 83204272
2013;9;3;99;29009639 82155246
2014;9;8;99;77
2014;10;19;99;32320416 89481851
2013;7;22;99;30225671 83527527
2014;6;31;99;77
2014;10;18;99;28266560 84213731
2013;10;14;99;77
2014;8;14;99;32965993 82228020
2013;4;23;99;27321593 86875426
2014;10;9;99;32889014 82286077
2013;10;7;99;77
2014;11;30;99;77
2014;12;23;99;30089732 83018366
2013;9;12;99;27389439 83867720
2013;10;31;99;77
2013;2;1;99;32653369 88894704
2014;6;6;99;30000840 82032590
2013;10;2;99;27839125 82312456
2013;11;10;99;30817386 82535999
2014;11;4;99;32566613 84205115
2013;7;21;99;32264444 88968444
2014;7;23;99;30210709 81243484
2014;7;23;99;29861420 81833053
2013;12;7;99;77
2014;1;14;99;31119516 86141658
2014;7;22;99;31684223 83564690
2013;11;27;99;31864973 87481855
2014;4;31;99;30801538 85223305
2013;4;20;99;28626039 82935825
2014;3;25;99;425093.541, 4579437.487
2014;9;8;99;32129706 83862708
2014;7;27;99;77
2014;6;29;99;77
2014;3;24;99;31711870 81622660
2014;12;5;99;28626039 82935825
2013;6;17;99;32741499 89140940
2013;4;31;99;28035323 84041812
2013;1;29;99;77
2013;9;2;99;28880210 81458051
2014;3;20;99;77
2014;4;26;99;27707525 85384399
2013;6;30;99;29141029 82908762
2013;8;2;99;31959945 84507244
2013;10;11;99;77
2013;5;17;99;29547782 82115950
2014;9;8;99;77
2013;10;12;99;34853407 84902937
2014;10;19;19,3;29268306 82226145
2014;9;30;99;77
2014;4;28;99;29747144 82683703
2013;11;10;99;31509610 83849619
2013;5;24;99;28879183 85743132
2014;3;9;99;31025713 87538216
2014;1;8;99;31493326 83842239
2013;3;24;99;29127570 83090714
2014;6;21;99;26691178 82289091
2013;4;5;99;77
2014;3;2;99;31133767 84610793
2014;12;29;99;32127436 84896826
2013;4;3;99;77
2013;9;3;99;29037270 81041753
2014;9;26;99;77
2014;8;12;99;29551771 81533809
2013;3;6;99;34146052 85601602
2013;7;14;99;28982852 83044030
2013;12;14;99;29979931 83366663
2014;7;23;99;30032161 82967863
2013;4;16;99;27580372 82624025
2014;12;14;99;27895786 79659928
2014;7;26;99;29566628 82875769
2014;3;30;99;77
2013;4;3;99;31203035 89018708
2013;4;23;99;27213403 81801408
2014;11;26;99;77
2013;2;28;99;30396077 87957016
2013;9;3;99;77
2013;10;17;99;77
2013;2;11;99;29865485 82990970
2014;5;3;99;77
2013;9;1;99;29044500 83004278
2014;8;6;99;26573093 76985742
2014;9;13;99;77
2014;10;13;99;77
2013;7;3;99;31684223 83564690
2013;8;2;99;77
2013;4;16;99;31598741 85002950
2013;3;15;99;31392415 84675798
2013;1;9;99;30262978 88219936
2013;8;10;99;30937007 86648735
2013;1;8;99;33336477 87651122
2013;12;20;99;32096379 88434854
2013;2;25;99;26645158 81044019
2014;3;7;99;30816427 79917675
2013;12;17;99;77
2013;8;16;99;426910.698, 4580743.973
2013;2;5;99;32723619 84624853
2014;8;3;99;30240046 84107697
2014;7;17;99;29941076 84339803
2014;12;2;99;31585713 83870825
2013;12;8;99;77
2014;6;4;99;28955379 81533698
2014;11;22;99;77
2013;11;29;99;77
2014;7;4;99;77
2013;12;13;99;27377848 82910612
2014;6;14;99;29648069 82591912
2014;5;18;99;29135845 81721154
2014;9;13;99;30156837 82708714
2013;9;11;99;30302454 83067114
2014;6;3;99;77
2013;3;19;99;77
2013;9;18;99;28778116 81166578
2014;5;22;99;29007602 87540547
2013;5;13;99;25837065 83361009
2014;2;4;99;77
2014;5;14;99;28670730 82936567
2013;6;15;99;27819596 83479135
2013;1;12;99;27995536 83875036
2013;9;18;99;29745526 81723188
2014;11;28;99;31075608 87841672
2014;8;25;99;28979909 81921807
2013;8;17;99;31990367 82039434
2013;4;6;99;29004202 84610702
2014;3;26;99;28460688 83602069
2013;1;3;99;32909957 82106478
2014;8;18;99;77
2013;5;25;99;29730840 82306101
2013;3;14;99;77
2013;6;1;99;27579027 80371469
2014;9;31;99;31395275 88347140
2014;10;23;99;32108441 82937266
2014;9;30;99;77
2014;6;24;14,35;77
2014;2;9;99;30273603 83201237
2013;2;15;99;77
2014;9;13;99;31099305 82310164
2013;4;12;99;27934081 84854029
2013;12;17;99;29834282 82588475
2013;10;1;20;32015198 87955976
2014;4;27;99;32155067 85551980
2013;9;20;99;77
2013;11;25;99;29837195 83332264
2014;4;3;99;33244198 88423222
2013;11;12;99;27278259 81009981
2013;4;21;99;77
2013;11;9;99;29749811 83282337
2013;9;12;99;27395132 81039407
2013;5;2;99;77
2014;4;15;99;77
2013;10;6;99;29622693 86916208
2013;4;10;99;77
2013;2;17;99;27680460 80339417
2013;1;6;99;425941.021, 4579331.260
2014;1;14;99;33568837 84498352
2013;12;14;99;77
2014;11;21;99;425424.596, 4579758.054
2013;10;17;99;77
2013;12;22;99;30878683 80894268
2014;5;12;99;27235305 82268151
2013;4;10;99;34992247 84641203
2014;2;22;99;27719009 85333918
2013;9;25;99;77
2014;12;8;99;32386128 87804869
2014;11;15;99;29269557 87916360
2013;3;11;99;77
2014;7;24;99;77
2013;7;21;99;77
2014;4;3;99;33965632 84716516
2013;11;10;99;77
2014;5;18;99;32328072 89288557
2014;9;16;99;29522756 81949530
2013;6;26;17,15;77
2013;11;26;99;77
2013;9;3;99;30653430 83579705
2013;11;24;99;29193515 81327469
2013;9;2;17,2;31839756 81817953
2013;9;6;99;31861028 82246882
2013;2;6;99;77
2014;3;7;99;29708550 84925375
2013;4;16;17,1;32120773 84688763
2014;11;14;99;77
2013;10;19;99;77
2013;8;25;99;29429785 81999784
2014;6;19;99;30822742 81165314
2014;10;18;99;29847765 81808307
2014;9;27;99;29871942 88100208
2014;7;25;99;29166034 86375038
2014;4;26;99;27515216 82060941
2013;7;19;99;30163339 82730944
2014;7;11;99;31921186 86181023
2014;10;5;99;28055115 82779864
2014;11;7;99;31996111 87944265
2013;12;13;99;27170973 83982228
2013;7;13;99;77
2013;11;29;99;27183526 82451418
2014;4;20;99;26622705 81278243
2013;8;22;99;28900191 82198150
2014;7;19;99;28318012 86496185
2013;4;6;99;29314822 82572514
2014;1;15;99;26607740 81673295
2014;12;30;99;29326460 83534486
2014;11;8;99;28581876 82964568
2014;10;21;99;77
2014;3;6;99;28672592 79639758
2013;4;12;99;26588939 75278350
2013;3;9;99;27125435 81724737
2014;1;29;99;31016069 82472083
2014;6;23;99;77
2013;6;4;99;29362503 81356789
2013;8;21;99;27493110 84044304
2014;8;13;99;30429876 79345070
2014;12;19;99;28279197 86081871
2014;7;4;99;77
2013;11;28;99;77
2014;8;2;99;27567937 79909512
2013;4;5;99;31642026 83579059
2014;2;30;99;28874605 81648541
2013;3;10;17,5;31114283 87152144
2013;12;31;99;32601714 87956921
2014;3;20;99;33168602 84877150
2013;7;7;99;30750339 87349520
2013;4;20;99;34028344 87656217
2014;10;17;99;77
2013;11;10;99;77
2013;4;26;99;26000733 81149757
2013;2;19;99;77
2014;2;11;99;77
2014;11;28;99;77
2013;7;9;99;77
2014;12;26;99;27810882 83484000
2014;9;18;99;77
2013;10;26;99;77
2014;5;8;99;31942951 83873884
2014;5;25;99;29975119 84731040
2014;8;5;99;425178.851, 4580939.841
2013;8;14;99;31481342 87615280
2013;4;26;99;26996908 82789031
2014;11;13;99;29399310 85068473
2013;3;16;99;29464416 83309749
2013;11;2;99;31134384 86831906
2013;12;22;99;77
2014;2;16;99;77
2014;4;23;99;77
2013;4;19;99;32653703 88785752
2014;3;2;99;27407035 77443015
2014;6;31;99;30556053 81019731
2013;10;4;99;29849801 88102099
2013;7;29;99;28571351 84328498
2014;11;9;99;30497167 83062503
2013;1;22;99;31244230 80741961
2014;9;6;99;28906651 84726539
2013;3;7;99;77
2013;12;4;99;77
2013;7;16;99;30159120 87080192
2013;12;3;99;32698906 83859363
2014;10;11;99;31083785 87057608
2013;10;5;99;30106694 82476849
2013;9;25;99;77
2013;1;26;99;30277383 82843611
2013;8;12;99;31139306 83160730
2014;2;7;99;32765591 82453806
2014;2;7;99;32717559 87112643
2013;6;4;99;29453736 82110292
2014;9;15;99;77
2014;9;4;99;33078859 85560270
2014;12;26;99;28728665 86694154
2013;9;22;99;26563113 84423602
2013;9;8;99;77
2013;1;27;99;77
2013;10;16;99;77
2013;9;15;99;27177914 81382385
2014;11;25;99;28904762 80976746
2013;1;3;99;30033309 84662626
2014;7;28;99;33091978 83676998
2013;3;20;99;77
2014;5;17;99;77
2013;1;28;99;30653792 83587072
2013;3;19;99;28171186 81774909
2014;10;7;99;77
2013;10;13;99;27151205 80749279
2014;3;25;99;77
2013;12;10;99;33216586 86078070
2013;4;12;99;28150227 85728227
2014;12;21;99;27266299 81437796
2013;12;2;99;77
2014;5;12;99;30248462 82223403
2013;9;1;99;426847.984, 4580603.592
2014;6;15;99;77
2013;7;16;99;28850090 80856307
2014;4;1;99;27193180 82500285
2014;6;19;99;26693607 82303295
2014;1;8;99;27636712 84325526
2013;10;16;99;32468988 88884711
2014;10;15;99;29402503 81688704
2014;10;18;99;77
2013;4;27;99;32594682 84510309
2014;2;24;99;27007681 76150828
2013;1;24;99;32684271 85212117
2014;7;9;99;77
2014;11;16;99;29824645 82776636
2014;12;26;99;31901475 88860933
2013;12;27;99;31872881 88066007
2014;6;20;99;77
2014;6;30;99;32134147 85587828
2014;5;25;99;77
2014;7;8;99;28592079 81376721
2013;11;15;99;77
2013;7;16;99;28066856 82477073
2014;2;13;99;30968261 83506192
2014;10;31;99;77
2013;11;7;99;31652533 85154906
2013;7;7;99;32889014 82286077
2013;11;13;99;77
2014;12;14;99;28344762 82193284
2014;9;6;99;28979292 81934117
2014;5;4;99;77
2013;4;23;99;77
2013;1;24;99;31688239 88826925
2013;11;28;99;26969059 82395441
2013;2;13;99;77
2013;4;2;99;31320119 87361758
2013;6;1;99;77
2014;7;22;99;29561655 84770587
2014;3;30;99;28266237 82625859
2014;9;2;99;31273136 84556434
2013;4;24;99;29536652 82295132
2014;9;31;13,5;33069804 85586125
2013;5;7;99;77
2014;12;7;99;34026262 83621229
2014;6;27;99;30289715 83447894
2013;12;6;99;34410382 84775921
2013;9;22;99;425224.300, 4579702.303
2014;11;6;99;77
2014;7;28;99;30434179 79349347
2013;6;27;99;27170845 81373939
2013;11;19;99;31394811 83811681
2013;6;11;99;28848337 80858562
2014;7;2;99;77
2013;9;8;99;30978643 84304292
2014;4;9;99;31865123 82241835
2014;11;21;99;77
2013;1;12;99;77
2013;1;6;99;26839604 76840456
2013;5;16;7;32596919 84506965
2013;10;2;99;29558985 81517782
2014;10;31;99;32358945 85993826
2014;7;18;99;425352.671, 4578121.116
2013;5;11;99;30675511 79776131
2013;2;2;99;29261025 82406896
2014;3;7;99;31381767 84289959
2014;10;2;99;77
2013;5;6;99;26906856 83917085
2014;3;12;99;33666980 86135670
2014;12;12;99;26077917 82088069
2013;1;4;99;29959467 88121651
2013;12;10;99;77
2014;11;25;99;77
2013;6;13;99;30882074 84586229
2014;9;15;99;28449953 83178380
2013;4;25;99;30551130 82281204
2013;11;12;99;30021793 83526756
2013;7;3;99;31255685 80771499
2013;3;23;99;31033879 87903995
2014;10;12;99;77
2013;7;2;99;77
2014;2;12;99;29369201 82487803
2014;12;11;99;29721120 81733376
2013;6;2;99;28301372 86133541
2013;10;22;99;29341290 82104757
2014;10;4;99;26073651 83884220
2014;12;21;99;29729810 81925445
2014;12;4;99;77
2014;2;26;99;77
2014;9;17;99;32013555 82648167
2013;8;9;99;77
2014;6;1;99;30517601 82888287
2013;3;1;99;28783932 83567103
2013;12;29;99;77
2013;3;4;99;28483496 77943823
2013;3;10;99;77
2013;6;27;99;29183874 81911099
2013;3;2;99;33884739 88039936
2013;9;20;99;77
2014;11;9;99;29155972 81361533
2014;9;19;17,2;31477127 84000586
2013;9;27;99;33566256 85674568
2014;4;5;99;77
2014;12;12;99;77
2014;5;30;99;33768191 88480250
2013;5;30;99;30905395 85321568
2013;11;30;99;27618029 85329467
2014;5;17;99;28675436 80678171
2013;1;2;99;77
2014;8;29;99;29018692 87213737
2013;8;14;99;28972852 81553673
2013;12;25;99;29932181 82680166
2013;10;21;99;27430972 83408630
2013;7;8;99;77
2013;11;21;99;30408007 80872440
2014;12;29;99;30969758 82921879
2013;11;25;99;33542822 88225539
2014;7;3;99;31882369 87455840
2014;9;8;99;33098873 83302746
2014;3;1;99;32060786 88041755
2014;3;11;99;28789137 80771471
2013;11;9;99;27044559 83536688
2013;6;18;99;32934793 82067405
2013;7;17;99;77
2013;2;8;99;32045992 86145478
2013;6;21;8,2;29423203 83555479
2013;12;11;99;29384328 83827158
2013;6;28;99;28459177 86475823
2014;2;11;99;29748054 81525553
2013;3;9;99;27977042 83481103
2013;2;2;99;77
2013;9;7;99;77
2014;8;21;99;77
2014;6;10;99;77
2013;12;17;99;31588108 87045072
2013;9;15;99;29380373 81170300
2013;4;9;99;32823049 88963788
2013;5;15;99;27380913 85153227
2014;1;28;99;30398411 82374944
2013;11;25;99;30123392 84357837
2013;6;27;99;426421.814, 4580391.368
2013;10;26;99;77
2014;11;15;99;27129390 82021013
2013;10;4;99;26394006 82208694
2013;2;8;99;77
2013;7;26;99;32450153 85146396
2013;12;4;99;29572804 81352256
2014;3;5;99;31516577 82777448
2014;3;7;99;29440145 81228362
2014;5;24;99;31648806 88798204
2014;3;2;99;30963473 87067099
2013;7;13;99;30750606 82790384
2014;2;12;99;29396925 86250389
2014;2;17;99;30010103 83358937
2013;9;19;99;77
2014;11;2;99;27614283 82632555
2014;11;10;99;33963366 86160760
2014;1;7;99;77
2014;7;3;99;27341687 83745187
2013;10;3;99;27166651 80610392
2013;4;27;99;31071008 80599641
2014;4;19;99;31169383 83895335
2013;4;9;99;30610172 83151383
2014;11;5;99;33660212 86320754
2014;7;22;99;427372.141, 4579814.406
2014;1;8;99;31904912 83839171
2014;7;13;99;32175846 88509024
2014;6;30;99;77
2013;5;24;99;77
2014;12;3;99;31855786 81820381
2013;11;1;99;29137814 81385827
2014;2;16;99;32244701 84054875
2014;7;2;99;77
2014;1;7;99;28024485 82722532
2014;5;7;99;28486962 84021378
2014;3;7;99;77
2013;11;22;99;26626293 81308434
2013;9;8;99;25223645 82114954
2013;3;20;99;28421203 80442112
2014;1;23;99;425202.621, 4578818.792
2014;3;12;99;27564039 80267306
2013;8;21;99;31689325 81554519
2013;3;21;99;29749788 78498602
2014;5;16;99;77
2014;11;18;99;30755808 83294641
2014;5;9;99;29172428 83484040
2013;6;16;99;30048140 87028395
2014;9;12;99;31845224 87481802
2014;9;17;99;32167801 88576945
2013;3;26;99;27714304 79970607
2014;12;11;99;29932774 80924626
2014;10;15;99;26820407 82341936
2013;7;24;99;33110529 82425539
2013;5;10;99;77
2014;4;12;99;31683579 86289254
2014;12;2;99;25556851 81933567
2013;5;12;99;424483.029, 4579575.836
2013;1;6;99;426401.814, 4579906.478
2013;12;23;99;30095341 80976155
2013;12;29;99;30689595 85152077
2014;11;26;22,4;30937739 82406484
2014;2;31;99;30062321 82815218
2014;2;27;99;29118371 82543922
2014;4;21;99;77
2014;7;8;99;77
2014;3;5;99;77
2014;12;18;99;27832997 84284441
2013;12;8;99;77
2013;5;8;99;77
2014;6;28;99;27574975 83478198
2013;1;1;99;31948318 81976718
2014;7;13;99;425700.216, 4578852.885
2014;4;24;99;77
2013;10;10;99;77
2013;9;28;99;31461591 84367923
2014;3;28;99;28106425 80143909
2013;10;4;99;34033014 83609416
2013;11;21;99;28793303 82690182
2014;4;27;99;29485240 80899880
2014;2;24;99;33580536 83924225
2014;12;11;99;30909214 83445255
2014;2;31;99;28952794 82658854
2014;1;3;99;77
2013;12;18;99;77
2013;12;28;99;31325728 83351683
2014;6;24;99;27410470 82927584
2013;3;11;99;77
2014;2;24;17,35;29262066 81252898
2013;6;22;99;31875486 87496751
2013;3;11;99;32119105 84642993
2014;2;6;99;28391578 86378536
2013;3;21;99;28976078 82680663
2013;4;12;99;32102234 83141488
2014;12;20;99;77
2013;12;27;99;425095.416, 4579481.416
2014;2;14;99;77
2013;2;12;99;29072544 81648606
2013;3;7;99;31307113 83267764
2013;2;16;99;29800994 84815747
2013;1;6;99;32038459 84353009
2014;10;11;99;31598138 81742610
2014;12;9;99;30442464 82388330
2013;4;5;99;30030784 83336869
2014;2;23;99;77
2013;2;19;99;425155.649, 4578308.273
2013;12;26;99;77
2013;3;21;99;30687019 82858067
2013;2;19;99;27509605 80807364
2014;2;23;99;28454332 80232381
2014;12;16;99;77
2013;10;28;99;77
2013;9;30;99;77
2014;10;8;99;32322844 89280120
2014;6;25;99;31494315 88766363
2013;12;27;99;28901995 83842468
2013;4;5;99;30985372 83887249
2013;6;22;99;30304745 83618180
2014;5;28;12,15;77
2014;6;4;99;77
2013;6;31;99;77
2013;11;31;99;33376181 84319991
2014;6;18;99;28581034 81366329
2014;6;22;99;30981203 83147013
2013;2;17;99;31164335 83884851
2014;12;31;99;33366062 85856744
2013;12;5;99;30340867 82180219
2013;2;26;99;32686142 88920909
2013;2;22;99;33936997 86243467
2014;2;12;99;32685880 84619320
2014;8;12;99;28297585 82252566
2014;8;15;99;25436989 81806855
2014;4;6;99;77
2014;8;3;99;28026979 81694407
2013;4;1;99;31988797 83902269
2013;2;2;99;27161581 84950737
2013;6;10;99;28031000 77716522
2014;2;30;99;425522.376, 4580393.594
2013;3;8;99;28954448 82666862
2014;4;7;99;27167401 83447126
2013;6;29;99;31897168 81779873
2013;10;30;99;29009897 83793519
2014;5;8;99;77
2014;11;14;99;77
2013;12;19;99;30690586 83422849
2014;6;28;99;27683762 79745356
2013;1;16;99;25376230 85332921
2013;12;15;99;32039895 89193125
2014;11;14;99;28277787 78507199
2014;12;23;99;77
2014;1;11;99;425109.011, 4580302.425
2014;8;6;99;77
2013;8;22;99;77
2013;3;18;99;31654840 84557004
2014;6;16;99;32196151 88789721
2014;8;20;99;27440752 81994046
2014;9;10;99;25586023 86041857
2013;10;15;99;29740570 82299941
2014;4;5;99;77
2013;5;22;99;29029879 84468066
2013;1;13;99;30607845 80730542
2014;2;5;99;32294935 86586910
2013;10;1;99;28121492 77763282
2013;7;11;99;77
2014;10;22;99;29814112 85069162
2014;5;26;99;30734757 79748285
2014;10;16;99;31009511 80463702
2014;10;18;99;77
2013;2;27;99;27211986 82469611
2014;10;27;99;77
2014;10;11;99;77
2013;11;25;99;29112538 80568268
2014;3;16;99;28369317 79197311
2013;10;22;99;28895283 80910056
2014;1;26;99;29643017 83248160
2013;9;10;99;77
2014;2;17;99;427578.306, 4579239.377
2014;10;27;99;25880188 75713728
2013;1;29;99;31227541 83143158
2013;11;16;99;427378.047, 4579888.917
2013;2;10;99;77
2013;6;19;99;31037510 88696378
2014;11;12;99;77
2013;8;28;14;32367890 89352093
2013;10;20;17;32132676 85030937
2013;2;3;99;31025538 81085248
2014;4;4;99;31661162 83618613
2014;4;16;99;29829579 81816664
2013;9;16;99;27701668 78939160
2014;5;30;19,27;26959250 84933738
2013;3;8;99;29155701 82679313
2013;6;30;99;27523129 80515469
2014;12;8;99;77
2013;1;9;99;29479200 84145915
2013;4;14;99;25465426 82548534
2013;12;29;99;30979023 88797457
2014;11;27;99;31762328 84665173
2014;5;10;99;77
2013;6;9;99;30087760 83019822
2013;2;24;99;29066755 84257292
2014;10;16;99;29683055 84962528
2013;12;22;99;30855022 83591378
2013;8;5;99;28801796 80772383
2013;3;22;99;77
2014;7;20;99;28297585 82252566
2013;2;28;99;77
2013;12;18;99;29660407 82232142
2013;3;19;99;28679498 80302292
2014;10;25;99;77
2013;12;18;99;30430582 84872928
2014;6;7;99;29880284 82456641
2014;11;28;99;77
2014;6;25;99;77
2014;1;5;99;31307143 80990624
2013;4;6;99;28514236 82657340
2014;6;9;99;77
2013;11;9;99;77
2013;9;14;99;32154083 85892833
2013;12;12;99;27395132 81039407
2014;11;20;99;30387037 80933877
2013;5;27;99;28028739 80770950
2013;2;4;99;32469270 89087403
2013;7;12;99;30211456 82398147
2013;2;25;99;29209992 81237501
2014;8;1;99;77
2014;1;8;11,15;33091572 83838939
2014;8;4;99;28492899 81105940
2014;11;26;99;32143286 86194670
2014;4;9;99;77
2014;1;11;99;29928992 78845818
2013;6;19;99;31317735 82659715
2013;6;7;99;28091089 83472837
2013;4;7;99;77
2014;9;5;99;77
2014;6;16;99;31611688 87751612
2014;6;20;99;77
2013;11;5;99;28931823 81141233
2014;2;7;99;30883726 84189695
2013;12;30;99;27612457 85321767
2014;2;17;99;77
2013;1;20;99;31434684 82853529
2013;4;4;99;77
2013;7;9;99;30789701 83527956
2014;10;29;99;28556139 78016010
2013;11;16;99;30612357 83352333
2013;5;25;99;30879228 84731772
2014;6;24;99;31958380 84035078
2013;2;9;99;28208514 84177946
2013;12;12;99;31241661 88691809
2013;1;12;99;29631521 82412682
2013;1;23;99;427617.284, 4579589.327
2014;7;6;99;28009163 79828277
2013;10;19;99;77
2013;10;25;99;77
2013;7;17;99;28280056 83837570
2013;7;9;99;33598268 83979346
2013;6;3;99;77
2013;7;21;99;33506637 83407537
2013;12;11;99;28383049 83400701
2014;1;26;99;77
2014;7;18;99;77
2014;8;6;7,35;25236105 84547639
2014;1;12;99;425639.246, 4579999.296
2014;6;20;99;32360761 81177344
2013;2;20;99;30156261 82707803
2014;10;23;99;77
2013;12;22;99;77
2014;6;24;99;30651344 83579713
2014;2;1;99;30153831 82705785
2014;12;30;99;27552026 81021196
2013;12;11;99;77
2013;10;17;99;30316708 88080250
2014;2;27;99;32477126 85039729
2014;4;8;99;31184588 83529182
2014;3;20;99;28495673 82035185
2013;12;15;99;33834231 85918676
2014;7;24;99;29027877 83064298
2013;11;24;99;426295.281, 4578682.876
2014;3;6;99;77
2014;5;7;99;30909158 82386066
2014;12;18;99;31856308 83803174
2014;1;25;99;426311.576, 4577613.849
2013;6;15;99;30214991 82164872
2014;1;2;99;32127260 84877657
2013;9;30;99;31037510 88696378
2014;11;27;99;28436881 80445909
2013;12;22;99;33071859 85002458
2013;5;31;99;30766389 85267131
2013;7;8;13,05;27211193 85029768
2014;10;26;99;33260223 89061433
2013;11;12;99;31979541 81717477
2014;7;8;99;30960173 85873011
2013;5;26;99;77
2014;1;18;99;77
2013;8;13;99;27902701 82782154
2013;4;5;99;77
2014;7;13;99;77
2014;9;22;99;27854043 79877029
2013;4;5;99;26244136 82203710
2013;5;20;99;30332500 84008604
2013;3;5;99;32126955 83696283
2014;11;3;99;29454722 82010377
2013;1;10;99;32199421 82841156
2014;12;10;99;30805074 83725692
2014;10;29;17,4;77
2014;9;22;99;29392466 86378831
2014;5;19;99;32038967 88117955
2014;1;10;99;32143869 86170931
2013;1;16;99;31186968 80856220
