Any;mes;dia;C_HORA_TRUCADA;D_COORD_GEO_IMPACTE
2014;9;11;99;77
2013;3;22;99;29431247 83193129
2013;12;29;99;77
2013;4;12;99;426623.089, 4580418.714
2014;9;5;99;30526596 82513859
2013;6;29;99;31630529 85293241
2013;4;19;99;77
2013;5;30;99;29809727 83324795
2013;11;19;99;30756668 83304195
2013;9;25;99;77
2013;6;22;99;26761608 83803387
2014;8;17;99;77
2014;1;16;99;34665345 84640215
2014;1;3;99;32594040 88368223
2014;3;4;99;77
2014;9;23;99;34355222 84845431
2013;2;3;99;77
2014;2;21;99;77
2013;10;30;99;32767761 85454952
2013;4;29;99;77
2013;2;23;99;34521808 84114574
2014;12;22;99;31865174 86265571
2013;10;4;99;32386128 87804869
2013;4;20;99;27972635 79983297
2013;9;7;99;77
2013;4;15;99;29473067 82190961
2014;11;6;99;31425481 87055070
2013;5;17;99;32618637 86339713
2014;6;2;99;26400302 76462255
2013;6;17;99;34022594 83704733
2014;7;11;99;29853135 83304879
2014;2;9;99;31427688 83372736
2013;2;5;99;77
2014;10;26;99;32486757 85416923
2014;2;19;99;29896062 80931647
2014;10;21;99;32115001 83694635
2014;7;28;99;31585054 83652988
2014;3;26;99;31224335 83148735
2014;6;25;99;30843590 82601584
2013;10;27;99;32144717 84183180
2014;4;22;99;27644568 83561031
2014;12;12;99;31580733 88854441
2014;3;24;99;77
2013;6;26;99;30101781 84361336
2014;8;26;99;27420831 82322469
2014;9;6;99;26032628 81069218
2014;12;26;99;427168.025, 4580533.457
2013;7;11;99;30407933 83529046
2014;7;7;99;77
2013;11;1;99;28232148 86009651
2013;7;23;99;30793225 83525368
2014;2;5;99;77
2013;6;14;99;31663820 83591323
2013;12;29;99;31247744 86575331
2013;11;5;99;30686376 83427491
2013;11;20;0,25;77
2014;6;2;99;33865381 83530361
2013;11;22;14,35;31948549 84659161
2013;9;2;99;33450716 82895242
2013;1;13;99;28210819 85897648
2014;1;3;99;29745487 82481597
2013;9;18;99;32536906 81369708
2013;6;15;99;25905877 81846481
2013;8;11;99;29125000 80581433
2013;9;8;99;77
2013;2;19;99;31850126 81810843
2014;4;30;99;77
2013;9;5;99;33075813 85004202
2013;11;9;99;31252725 82404126
2014;8;1;99;32135033 83692249
2014;5;23;99;77
2013;12;21;99;31712765 81619597
2014;9;7;99;30981509 82552434
2014;7;1;99;32169422 86290934
2014;8;9;99;27783398 84333101
2013;9;3;99;29117256 81120376
2014;5;21;99;426552.881, 4581059.916
2013;3;29;99;30119370 82091804
2014;9;10;99;28742983 81209434
2013;9;26;99;425054.848, 4579320.014
2014;8;2;99;30220866 83148757
